"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","2","API Testing","8","0","Albums GET Tests","0"
"0","","2","API Testing","11","0","Users GET Tests","0"
"0","","3","API Testing","9","0","Posts GET Tests","0"
"0","","0","API Testing","1","0","Users POST Tests","0"
"0","","0","API Testing","8","0","Schema and Header Validation","0"
"0","","0","API Testing","1","0","Comments PUT Tests","0"
"0","","0","API Testing","1","0","Albums PUT Tests","0"
"0","","0","API Testing","4","0","Todos GET Tests","0"
"0","","0","API Testing","1","0","Photos POST Tests","0"
"0","","0","API Testing","1","0","Todos POST Tests","0"
"0","","0","API Testing","4","0","Comments GET Tests","0"
"0","","0","API Testing","4","0","Photos GET Tests","0"
"0","","0","API Testing","1","0","Albums POST Tests","0"
"0","","0","API Testing","1","0","Albums PATCH Tests","0"
"0","","0","API Testing","1","0","Posts DELETE Tests","0"
"0","","0","API Testing","1","0","Todos DELETE Tests","0"
"0","","0","API Testing","1","0","Albums DELETE Tests","0"
"0","","0","API Testing","1","0","Comments POST Tests","0"
"0","","0","API Testing","1","0","Photos DELETE Tests","0"
"0","","0","API Testing","1","0","Posts PUT Tests","0"
"0","","0","API Testing","1","0","Todos PUT Tests","0"
"0","","0","API Testing","1","0","Photos PUT Tests","0"
"0","","0","API Testing","1","0","Comments DELETE Tests","0"
"0","","0","API Testing","1","0","Posts POST Tests","0"
